position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
8,Sevilla,30,11.470588235294116,7.0588235294117645,11.470588235294116,0.042,0.043,-0.000999999999999994,33.33333333333333,1983-84
9,Málaga,30,9.705882352941178,9.705882352941178,10.588235294117649,0.041,0.035,0.005999999999999998,32.35294117647059,1983-84
10,Español,30,8.823529411764707,11.470588235294116,9.705882352941178,0.042,0.044,-0.001999999999999995,32.35294117647059,1983-84
11,Murcia,30,8.823529411764707,10.588235294117649,10.588235294117649,0.042,0.038,0.0040000000000000036,31.372549019607842,1983-84
12,Valencia,30,10.588235294117649,7.0588235294117645,12.352941176470587,0.045,0.047,-0.0020000000000000018,31.372549019607842,1983-84
13,Sporting Gijón,30,9.705882352941178,7.0588235294117645,13.235294117647058,0.038,0.047,-0.009000000000000001,29.411764705882355,1983-84
14,Valladolid,30,9.705882352941178,6.1764705882352935,14.117647058823529,0.044,0.06,-0.016,28.431372549019606,1983-84
15,Osasuna,30,9.705882352941178,5.294117647058824,15.0,0.03,0.044,-0.013999999999999999,27.450980392156865,1983-84
16,Cádiz,30,5.294117647058824,8.823529411764707,15.882352941176471,0.036,0.051,-0.015,21.568627450980394,1983-84
17,Mallorca,30,2.647058823529412,13.235294117647058,14.117647058823529,0.027,0.056,-0.029,20.588235294117645,1983-84
18,Salamanca,30,4.411764705882353,8.823529411764707,16.764705882352942,0.03,0.059,-0.028999999999999998,19.607843137254903,1983-84
1,Barcelona,30,18.529411764705884,9.705882352941178,1.7647058823529411,0.069,0.025,0.044000000000000004,51.9607843137255,1984-85
2,Atlético Madrid,30,14.117647058823529,9.705882352941178,6.1764705882352935,0.051,0.028,0.022999999999999996,42.15686274509804,1984-85
3,Athletic Bilbao,30,11.470588235294116,13.235294117647058,5.294117647058824,0.039,0.026,0.013000000000000001,40.19607843137255,1984-85
4,Sporting Gijón,30,11.470588235294116,13.235294117647058,5.294117647058824,0.034,0.023,0.011000000000000003,40.19607843137255,1984-85
5,Real Madrid,30,11.470588235294116,8.823529411764707,9.705882352941178,0.046,0.036,0.010000000000000002,35.294117647058826,1984-85
